Gender,Under 30,Married,Dependents,Referred a Friend,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Churn Label,Age,Number of Dependents,Zip Code,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
Male,No,No,No,No,No,No,Yes,DSL,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,78.0,0.0,90022.0,68701.0,0.0,1.0,0.0,8.0,40.0,0.0,20.0,0.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Yes,74.0,1.0,90063.0,55668.0,1.0,8.0,49.0,17.0,81.0,0.0,0.0,391.0
Male,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,3.0,90065.0,47534.0,0.0,18.0,11.0,52.0,95.0,46.0,0.0,204.0
Female,No,Yes,Yes,Yes,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,78.0,1.0,90303.0,27778.0,1.0,25.0,20.0,12.0,98.0,13.0,0.0,494.0
Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,80.0,1.0,90602.0,26265.0,1.0,37.0,6.0,14.0,76.0,0.0,0.0,234.0
Female,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,72.0,1.0,90660.0,63288.0,0.0,27.0,3.0,18.0,78.0,0.0,10.0,90.0
Female,No,Yes,Yes,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Yes,76.0,2.0,90720.0,21343.0,1.0,1.0,15.0,30.0,70.0,0.0,0.0,15.0
Male,No,Yes,No,Yes,No,No,Yes,DSL,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,66.0,0.0,91024.0,10558.0,6.0,58.0,0.0,24.0,45.0,41.0,0.0,0.0
Female,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Yes,70.0,2.0,91106.0,23742.0,0.0,15.0,44.0,19.0,74.0,0.0,0.0,661.0
Female,No,No,Yes,No,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Yes,77.0,2.0,91107.0,32369.0,0.0,7.0,27.0,18.0,76.0,11.0,0.0,189.0
Female,No,No,Yes,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,78.0,1.0,91605.0,57146.0,0.0,11.0,12.0,29.0,95.0,0.0,120.0,127.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,91722.0,33817.0,0.0,15.0,29.0,29.0,74.0,0.0,0.0,437.0
Male,No,Yes,No,Yes,No,No,Yes,DSL,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Yes,77.0,0.0,91732.0,62660.0,1.0,1.0,0.0,12.0,40.0,0.0,0.0,0.0
Male,No,No,No,No,No,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,67.0,0.0,91746.0,30802.0,0.0,3.0,0.0,28.0,41.0,0.0,0.0,0.0
Male,No,No,No,No,Yes,Yes,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,68.0,0.0,91748.0,46342.0,0.0,13.0,33.0,11.0,107.0,0.0,10.0,425.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,68.0,0.0,91764.0,49474.0,0.0,16.0,9.0,9.0,94.0,0.0,0.0,151.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,66.0,0.0,91901.0,16486.0,0.0,8.0,2.0,7.0,74.0,0.0,0.0,14.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0.0,92122.0,34902.0,0.0,24.0,31.0,15.0,76.0,0.0,0.0,741.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,92122.0,34902.0,0.0,4.0,32.0,2.0,95.0,0.0,0.0,126.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,92122.0,34902.0,2.0,32.0,47.0,10.0,75.0,0.0,0.0,1515.0
Male,No,Yes,No,Yes,Yes,No,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,92122.0,34902.0,1.0,24.0,16.0,12.0,93.0,0.0,0.0,386.0
Female,No,No,No,No,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Yes,70.0,0.0,92122.0,34902.0,0.0,54.0,12.0,5.0,82.0,0.0,0.0,652.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,92122.0,34902.0,0.0,2.0,13.0,10.0,70.0,0.0,0.0,26.0
Female,No,No,No,No,No,No,Yes,Cable,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,92122.0,34902.0,0.0,21.0,0.0,8.0,42.0,0.0,0.0,0.0
Male,No,Yes,No,No,No,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,Yes,71.0,0.0,92122.0,34902.0,0.0,27.0,0.0,13.0,31.0,0.0,140.0,0.0
Male,No,Yes,No,Yes,Yes,No,No,Cable,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,Yes,79.0,0.0,92122.0,34902.0,1.0,11.0,30.0,0.0,20.0,0.0,0.0,325.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,66.0,0.0,92122.0,34902.0,2.0,55.0,43.0,27.0,85.0,0.0,90.0,2355.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,92122.0,34902.0,0.0,3.0,9.0,14.0,81.0,0.0,0.0,28.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,80.0,0.0,92274.0,17018.0,0.0,1.0,35.0,17.0,75.0,0.0,20.0,35.0
